YearRange,Description,Units,Count,IntakeYear
2006/7,Energy,kcal,272.2431704,99368.7572
2006/7,Energy,MJ,1.139827706,416.0371127
2006/7,Energy from all sources excluding alcohol,kcal,249.9353071,91226.38709
2006/7,Protein,g,9.712022187,3544.888098
2006/7,Fat,g,11.95619281,4364.010376
2006/7,Saturates,g,3.70079495,1350.790157
2006/7,Mono-unsaturates,g,4.933434507,1800.703595
2006/7,Poly-unsaturates,g,2.487151973,907.8104701
2006/7,Cholesterol,mg,38.86440169,14185.50662
2006/7,Carbohydrate (b),g,27.62683981,10083.79653
2006/7,Total sugars,g,10.55963811,3854.26791
2006/7,Non-milk extrinsic sugars,g,8.042691461,2935.582383
2006/7,Starch,g,17.06478265,6228.645667
2006/7,Fibre (c),g,1.804437553,658.6197068
2006/7,Alcohol,g,3.186837617,1163.19573
2006/7,Calcium,mg,79.1338831,28883.86733
2006/7,Iron,mg,1.300449085,474.663916
2006/7,Zinc,mg,1.113429131,406.4016328
2006/7,Magnesium,mg,31.89999077,11643.49663
2006/7,Sodium (d),g,0.347781991,126.9404267
2006/7,Potassium,g,0.398236754,145.3564152
2006/7,Thiamin,mg,0.215207494,78.55073531
2006/7,Riboflavin,mg,0.162504333,59.31408155
2006/7,Niacin Equivalent,mg,4.849048186,1769.902588
2006/7,Vitamin B6,mg,0.376086971,137.2717444
2006/7,Vitamin B12,μg,0.621517219,226.8537849
2006/7,Folate,μg,44.8924978,16385.7617
2006/7,Vitamin C,mg,9.439786447,3445.522053
2006/7,Retinol,μg,49.45792214,18052.14158
2006/7,Carotene,μg,391.860986,143029.2599
2006/7,Retinol equivalent,μg,114.768014,41890.32511
2006/7,Vitamin D,μg,0.353984027,129.2041699
2006/7,Vitamin E,mg,1.774100866,647.5468161
2007/8,Energy,kcal,258.1244454,94215.42257
2007/8,Energy,MJ,1.080715428,394.4611312
2007/8,Energy from all sources excluding alcohol,kcal,238.203428,86944.25122
2007/8,Protein,g,9.274770653,3385.291288
2007/8,Fat,g,11.42810264,4171.257464
2007/8,Saturates,g,3.534336308,1290.032752
2007/8,Mono-unsaturates,g,4.714927699,1720.94861
2007/8,Poly-unsaturates,g,2.380138056,868.7503904
2007/8,Cholesterol,mg,37.4814671,13680.73549
2007/8,Carbohydrate (b),g,26.22918582,9573.652824
2007/8,Total sugars,g,9.947392374,3630.798217
2007/8,Non-milk extrinsic sugars,g,7.565096268,2761.260138
2007/8,Starch,g,16.27933523,5941.957359
2007/8,Fibre (c),g,1.709614471,624.0092819
2007/8,Alcohol,g,2.845859628,1038.738764
2007/8,Calcium,mg,75.26651286,27472.27719
2007/8,Iron,mg,1.248191707,455.5899731
2007/8,Zinc,mg,1.059645013,386.7704297
2007/8,Magnesium,mg,30.05627543,10970.54053
2007/8,Sodium (d),g,0.334694059,122.1633315
2007/8,Potassium,g,0.375649746,137.1121573
2007/8,Thiamin,mg,0.204076566,74.48794659
2007/8,Riboflavin,mg,0.153327614,55.96457911
2007/8,Niacin Equivalent,mg,4.59326914,1676.543236
2007/8,Vitamin B6,mg,0.351981674,128.473311
2007/8,Vitamin B12,μg,0.589735167,215.253336
2007/8,Folate,μg,42.09719876,15365.47755
2007/8,Vitamin C,mg,8.848860903,3229.83423
2007/8,Retinol,μg,46.95712676,17139.35127
2007/8,Carotene,μg,364.8410185,133166.9718
2007/8,Retinol equivalent,μg,107.7638938,39333.82124
2007/8,Vitamin D,μg,0.340803046,124.3931118
2007/8,Vitamin E,mg,1.69780548,619.6990002
2008/9,Energy,kcal,248.367924,90654.29226
2008/9,Energy,MJ,1.039866824,379.5513908
2008/9,Energy from all sources excluding alcohol,kcal,229.5095301,83770.97849
2008/9,Protein,g,8.940205821,3263.175125
2008/9,Fat,g,11.04677791,4032.073937
2008/9,Saturates,g,3.4302347,1252.035666
2008/9,Mono-unsaturates,g,4.556530723,1663.133714
2008/9,Poly-unsaturates,g,2.287936938,835.0969824
2008/9,Cholesterol,mg,36.07853218,13168.66425
2008/9,Carbohydrate (b),g,25.18029537,9190.80781
2008/9,Total sugars,g,9.605153674,3505.881091
2008/9,Non-milk extrinsic sugars,g,7.303944536,2665.939756
2008/9,Starch,g,15.57290716,5684.111113
2008/9,Fibre (c),g,1.640060456,598.6220664
2008/9,Alcohol,g,2.694056272,983.3305393
2008/9,Calcium,mg,72.38302838,26419.80536
2008/9,Iron,mg,1.198256778,437.363724
2008/9,Zinc,mg,1.024063473,373.7831676
2008/9,Magnesium,mg,28.83192764,10523.65359
2008/9,Sodium (d),g,0.320588727,117.0148854
2008/9,Potassium,g,0.36320512,132.5698688
2008/9,Thiamin,mg,0.197482698,72.08118477
2008/9,Riboflavin,mg,0.147278681,53.75671857
2008/9,Niacin Equivalent,mg,4.399178275,1605.70007
2008/9,Vitamin B6,mg,0.338694741,123.6235805
2008/9,Vitamin B12,μg,0.573891968,209.4705683
2008/9,Folate,μg,40.32947686,14720.25905
2008/9,Vitamin C,mg,8.597123946,3137.95024
2008/9,Retinol,μg,46.08720624,16821.83028
2008/9,Carotene,μg,354.9858752,129569.8444
2008/9,Retinol equivalent,μg,105.2514524,38416.78013
